agencyId,color,description,routeId,longName,shortName,textColor,type,url
73,,Expreso x Autop. - F. Varela y Pte. Peron - P. de Mendoza y Necochea: a San Justo x Autop.,73_1588,JNAMBA046,46C,,3,
73,,Expreso x Autop. - F. Varela y Pte. Peron - P. de Mendoza y Necochea: a La Boca x Autop.,73_1587,JNAMBA046,46C,,3,
73,,Eva Peron y Av. San Martin - Pza. Constitución: a San Justo x Iriarte,73_1110,JNAMBA046,46B,,3,
73,,Eva Peron y Av. San Martin - Pza. Constitución: a La Boca x Iriarte,73_1109,JNAMBA046,46B,,3,
74,,Ciudadela - Morón: a Morón,74_1798,JPBSAS242,242A,,3,
74,,Ciudadela - Morón: a Ciudadela,74_1799,JPBSAS242,242A,,3,
74,,Ramal D: Ramal D - IDA,74_958,JPBSAS242,242RD,,3,
74,,Ramal D: Ramal D - VUELTA,74_959,JPBSAS242,242RD,,3,
74,,---: IDA,74_960,JPBSAS242,R8/99,,3,
74,,---: VUELTA,74_961,JPBSAS242,R8/99,,3,
74,,---: IDA,74_964,JPBSAS242,R333/9,,3,
74,,---: VUELTA,74_965,JPBSAS242,R333/9,,3,
74,,Pte. La Noria - Tribunales de Morón x Celina: a Tribunales de Morón x Celina,74_970,JPBSAS298,298T,,3,
74,,Pte. La Noria - Tribunales de Morón x Celina: a Pte. La Noria x Celina,74_971,JPBSAS298,298T,,3,
74,,Pte. La Noria - Tribunales de Morón x Mercado: a Tribunales de Morón x Mercado,74_972,JPBSAS298,298TM,,3,
74,,Pte. La Noria - Tribunales de Morón x Mercado: a Pte. La Noria x Mercado,74_973,JPBSAS298,298TM,,3,
74,,Pte. La Noria - D´onofrio x Mercado Central: a DÂ´onofrio x Mercado Central,74_974,JPBSAS298,298RM,,3,
74,,Pte. La Noria - D´onofrio x Mercado Central: a Pte. La Noria x Mercado Central,74_975,JPBSAS298,298RM,,3,
74,,Pte. La Noria - D´onofrio x Celina: a DÂ´onofrio x Celina,74_976,JPBSAS298,298RC,,3,
